Packet_ID,True_Label,LogProb_Pos0,LogProb_Pos1,LogProb_Pos2,LogProb_Pos3,LogProb_Pos4
0,1,-3.595168352127075,,,,
1,1,-5.266295909881592,-5.1725850105285645,,,
2,1,-4.81784200668335,-4.252138614654541,-4.1943278312683105,,
3,1,-4.288730144500732,-4.147954940795898,-3.248579740524292,-3.4641456604003906,
4,1,-4.4745354652404785,-4.073049068450928,-4.0374016761779785,-3.2769534587860107,-3.595987558364868
5,1,-6.107423305511475,-5.431976318359375,-5.487351417541504,-5.60177755355835,-4.677101135253906
6,1,-3.5582003593444824,-2.647306203842163,-2.403689384460449,-2.330193042755127,-2.339479923248291
7,1,-4.820616722106934,-4.841774940490723,-4.7103447914123535,-4.441073894500732,-4.427027225494385
8,1,-5.86513614654541,-6.039973258972168,-5.9587016105651855,-5.7549920082092285,-5.234163761138916
9,1,-2.841228485107422,-2.446855306625366,-2.355644464492798,-2.2556276321411133,-2.338413715362549
10,1,-3.4334909915924072,-2.667351722717285,-2.679044723510742,-2.663081407546997,-3.064453363418579
11,1,-5.351469039916992,-4.108915328979492,-4.033840179443359,-3.9031176567077637,-4.352231979370117
12,1,-5.4502739906311035,-4.108547210693359,-4.057298183441162,-3.9581551551818848,-4.006044387817383
13,1,-5.542191028594971,-3.8850886821746826,-4.100410461425781,-4.073314666748047,-4.382320404052734
14,1,-4.903029918670654,-3.9196794033050537,-3.9657795429229736,-4.144765377044678,-4.442845344543457
15,1,-4.608675003051758,-3.726322889328003,-3.682647228240967,-3.766516923904419,-4.4251275062561035
16,1,-1.247357964515686,-1.1083898544311523,-1.2261711359024048,-1.2066377401351929,-1.0666096210479736
17,1,-2.955641508102417,-2.2776670455932617,-2.389329195022583,-2.4903812408447266,-2.7296578884124756
18,1,-1.891308307647705,-1.770365595817566,-1.7854115962982178,-1.8793052434921265,-1.9663889408111572
19,1,-0.06582726538181305,-0.6408908367156982,-0.695279061794281,-0.7980774641036987,-0.7151803374290466
20,1,-0.03868553414940834,-0.2926943898200989,-0.7289272546768188,-0.8402948379516602,-0.7822911739349365
21,1,-0.02806166373193264,-0.30888333916664124,-0.48383888602256775,-0.8669803142547607,-0.844958484172821
22,1,-0.058420371264219284,-0.3169350028038025,-0.401731014251709,-0.4891877770423889,-1.3783602714538574
23,1,-2.870882987976074,-2.169891357421875,-2.0444796085357666,-2.114593744277954,-1.8781675100326538
24,1,-3.940376043319702,-3.100738763809204,-3.1077005863189697,-3.1432857513427734,-3.196633815765381
25,1,-4.596216201782227,-4.909046649932861,-4.349207401275635,-4.429485321044922,-3.9922077655792236
26,1,-3.4437389373779297,-2.64452862739563,-2.6481800079345703,-2.488741397857666,-2.5364675521850586
27,1,-4.203260898590088,-4.626007080078125,-4.555686950683594,-4.534550666809082,-3.974705696105957
28,1,-4.599184036254883,-4.75087833404541,-4.845335483551025,-4.713120460510254,-4.119059085845947
29,1,-3.684026002883911,-3.1880860328674316,-3.1882240772247314,-3.3307406902313232,-3.2712416648864746
30,1,-4.192106246948242,-3.439415216445923,-3.6403136253356934,-3.73820424079895,-4.013875961303711
31,1,-4.101731777191162,-3.622654914855957,-3.7003798484802246,-3.857325553894043,-4.029348373413086
32,1,-4.084246635437012,-4.280276298522949,-4.381689071655273,-4.364621639251709,-4.387922763824463
33,1,-3.0928704738616943,-1.765832543373108,-1.8999440670013428,-2.1438839435577393,-1.9258784055709839
34,1,-2.6505420207977295,-2.1504805088043213,-2.0670409202575684,-2.0354063510894775,-2.1278514862060547
35,1,-2.7521896362304688,-1.6778802871704102,-1.6429702043533325,-1.6415010690689087,-1.7951046228408813
36,1,-3.066516160964966,-1.7316174507141113,-1.8196772336959839,-1.7824710607528687,-1.6829127073287964
37,1,-2.216585874557495,-1.82293701171875,-1.791438341140747,-1.7850035429000854,-1.9439985752105713
38,1,-2.7035505771636963,-1.6583784818649292,-1.6133671998977661,-1.6220628023147583,-1.74909508228302
39,1,-3.0536763668060303,-1.6855807304382324,-1.7808372974395752,-1.7245997190475464,-1.7012417316436768
40,1,-3.1493117809295654,-2.170793294906616,-2.082235097885132,-2.1066935062408447,-2.209648370742798
41,1,-2.99774169921875,-1.711778998374939,-1.6698096990585327,-1.5902974605560303,-1.7212754487991333
42,1,-3.527273416519165,-2.0276005268096924,-1.8434375524520874,-1.7695189714431763,-1.6584532260894775
43,1,-5.631359577178955,-4.652986526489258,-4.26658296585083,-4.328521251678467,-4.560848236083984
44,1,-5.5662713050842285,-5.7552361488342285,-5.469334125518799,-5.080384254455566,-4.788829803466797
45,1,-5.340862274169922,-3.8198163509368896,-3.707268714904785,-3.4575135707855225,-3.199551582336426
