Packet_ID,Voti_Anomalia,Avg_LogProb,LogProb_Pos0,LogProb_Pos1,LogProb_Pos2,LogProb_Pos3,LogProb_Pos4
18468,0,-0.0012646301569475206,-0.0021546664647758,-4.085546970600262e-05,-5.284275903250091e-05,-0.0001063456293195,-0.0039684404619038
10832,0,-0.0013098925235680817,-0.0029918435029685,-6.572247366420925e-05,-0.0001348222722299,-0.0001387395022902,-0.0032183348666876
18776,0,-0.00155524697620416,-0.0030734033789485,-0.0002597061102278,-0.000329089583829,-0.0006053024553693,-0.0035087333526462
27416,0,-0.0019293286983156203,-0.0075351437553763,-0.0001149207673734,-0.0001301375450566,-0.0001730706717353,-0.0016933707520365
24144,0,-0.00310311493230978,-0.0041510807350277,-0.0010946815600618,-0.0007703843293711,-0.0007491644355468,-0.0087502636015415
27904,0,-0.00483407464926128,-0.0085725067183375,-0.0001641818962525,-0.0001770096714608,-0.0003180420026183,-0.0149386329576373
1398,0,-0.005940589559031581,-0.0169852711260318,-0.0004906081594526,-0.0002699836913961,-0.0002761576906777,-0.0116809271275997
16937,0,-0.35910601615905763,-0.3919662237167358,-0.3478380441665649,-0.4260931611061096,-0.4405725002288818,-0.1890601515769958
25377,0,-0.4034366190433502,-0.3915366530418396,-0.427411288022995,-0.3779886364936828,-0.4641828238964081,-0.3560636937618255
29033,0,-0.414658123254776,-0.394056886434555,-0.3855782747268677,-0.43367600440979,-0.512934684753418,-0.3470447659492492
29045,0,-0.414658123254776,-0.394056886434555,-0.3855782747268677,-0.43367600440979,-0.512934684753418,-0.3470447659492492
29037,0,-0.418085914850235,-0.3847441077232361,-0.490187406539917,-0.4901256263256073,-0.4600561857223511,-0.2653162479400635
31969,0,-0.42980974316596987,-0.3630932569503784,-0.4847416281700134,-0.5228093266487122,-0.4833092093467712,-0.295095294713974
29049,0,-0.44991888403892516,-0.3749676644802093,-0.5578781366348267,-0.5913761854171753,-0.4600561857223511,-0.2653162479400635
25273,0,-0.4661080718040466,-0.400355577468872,-0.4561641216278076,-0.5583360195159912,-0.5597177743911743,-0.3559668660163879
29013,0,-0.46895318031311034,-0.3846652507781982,-0.3987866342067718,-0.5550574660301208,-0.5884311199188232,-0.4178254306316376
29041,0,-0.46895318031311034,-0.3846652507781982,-0.3987866342067718,-0.5550574660301208,-0.5884311199188232,-0.4178254306316376
