Original,Reconstructed,Label,Predicted,Error
04ab013530,04100be900124536,1,0,0.000559035
04100be900124536,04100be900124536,0,0,0.000000000
04100be900122400000000000000010000000040fa8f5c770000003ebb98c8000000003f4a3d713f5eb8524545,04100be9001224000000000000000010000000040fa8f5c770000003ebb98c8000000003f4a3d713f5eb8524545,0,1,0.001741202
04031210000e000e36000000000000000040ba7b963741,04031210000e000e36000000000000000040ba7b963741,0,0,0.000000000
04100be900124536,04100be900124536,0,0,0.000000000
04031210000e000fdf0000000000000000ce55238e3037,04031210000e000fdf000000000000000040ce55238e3037,1,0,0.000880160
04030bb700093245,04030bb700093245,0,0,0.000000000
04031210000e000cec0000000000000000400178a53733,04031210000e000cec0000000000000000400178a53733,0,0,0.000000000
04030bb700093245,04030bb700093245,0,0,0.000000000
04030bb700093245,04030bb700093245,0,0,0.000000000
04030bb700093245,04030bb700093245,0,0,0.000000000
04100be900124536,04100be900124536,0,0,0.000000000
04100be900124536,04100be900124536,0,0,0.000000000
04030bb700093245,04030bb700093245,0,0,0.000000000
04031210000e000eec000000000000000040fd6ce03436,04031210000e000eec000000000000000040fd6ce03436,0,0,0.000000000
04031210000e00159300000000000000004108f43a4141,04031210000e00159300000000000000004108f43a4141,1,0,0.000000000
04100be900124536,04100be900124536,0,0,0.000000000
04030bb700093245,04030bb700093245,0,0,0.000000000
04100be9001224000100020000000100000000414b33336f0000003e805bc0000000003f4000003f5eb8523545,04100be9001224000100020000000100000000414b33336f0000003e805bc0000000003f4000003f5eb8523545,0,0,0.000000000
04100be90012240001000100000000000000004198cccd740000003e7318fc000000003f2e147b3f5eb8523732,04100be90012240001000100000000000000004198cccd740000003e7318fc000000003f2e147b3f5eb8523732,0,0,0.000000000
04030bb700093245,04030bb700093245,0,0,0.000000000
04100be9001224000000000001000000000000407eb852710000003ead4fdf000000003f2666663f5eb8523937,04100be90012240000000000001000000000000407eb852710000003ead4fdf000000003f2666663f5eb8523937,0,1,0.001656662
04100be90012240001000200000000000000004117d70a760000003eaef34d000000003f4a3d713f5eb8523036,04100be90012240001000200000000000000004117d70a760000003eaef34d000000003f4a3d713f5eb8523036,0,0,0.000000000
04100be900124536,04100be900124536,0,0,0.000000000
04031210000e000cbf00000000000000003fc0bc534630,04031210000e000cbf00000000000000003fc0bc534630,0,0,0.000000000
04100be9001224000100020000000000000000419b3333770000003e8b0f28000000003f147ae13f5eb8524231,04100be9001224000100020000000000000000419b3333770000003e8b0f28000000003f147ae13f5eb8524231,0,0,0.000000000
04030bb700093245,04030bb700093245,0,0,0.000000000
04030bb700093245,04030bb700093245,0,0,0.000000000
04030bb700093245,04030bb700093245,0,0,0.000000000
04031210000e000cc600000000000000003fcb08d33132,04031210000e000cc600000000000000003fcb08d33132,0,0,0.000000000
04031210000e001309000000000000000041a02f143839,04031210000e001309000000000000000041a02f143839,0,0,0.000000000
04031210000e0010940000000000000000414cdfa23137,04031210000e0010940000000000000000414cdfa23137,0,0,0.000000000
04031210000e000c6e00000000000000003e0511a83533,04031210000e000c6e00000000000000003e0511a83533,1,0,0.000000000
04030bb700093245,04030bb700093245,0,0,0.000000000
04031210100e100d140000000000000000401bf43b4645,04031210100e100d140000000000000000401bf43b4645,0,0,0.000000000
